Nombre,Club,Minutos,Goles,Asistencias,Amarillas,Rojas
Nacho Vidal,Osasuna,2332,0,0,5,0
Didac Vila,Espanyol,2492,0,0,9,0
Toni Villa,Valladolid,1354,0,1,4,0
Asier Villalibre,Athletic Club,531,3,0,0,0
Ivan Villar,Celta Vigo,280,0,0,0,0
Juan Villar,Osasuna,240,1,0,1,0
Vitolo,Atletico Madrid,1227,3,2,3,0
Sime Vrsaljko,Atletico Madrid,362,0,1,3,0
Nikola Vukcevic,Levante,1569,0,2,11,0
Moussa Wague,Barcelona,90,0,0,0,0
Wakaso,Alaves,1283,0,0,12,1
Daniel Wass,Valencia,2733,1,6,7,0
Inhaki Williams,Athletic Club,2939,6,1,3,0
Yoel,Eibar,270,0,0,1,0
Okay Yokuslu,Celta Vigo,1973,0,2,6,0
Joseba Zaldua,Real Sociedad,2545,0,2,8,1
Andre-Frank Zambo Anguissa,Villarreal,2583,2,0,6,0
Igor Zubeldia,Real Sociedad,2640,0,1,9,0
Martin Zubimendi,Real Sociedad,594,0,0,3,0
David Zurutuza,Real Sociedad,157,0,0,0,0
Martin Odegaard,Real Sociedad,2527,4,6,3,0
