Nombre,Club,Minutos,Goles,Asistencias,Amarillas,Rojas
Sebastian Cristoforo,Eibar,877,0,0,1,0
Cucho,Mallorca,1487,5,1,5,1
Marc Cucurella,Getafe,3237,1,5,9,0
Ivan Cuellar,Leganes,2429,0,0,4,1
Moanes Dabour,Sevilla,26,0,0,0,0
Sergi Darder,Espanyol,2658,2,1,4,0
Ousmane Dembele,Barcelona,357,1,0,1,1
Deyverson,Getafe,204,0,1,2,0
Mouctar Diakhaby,Valencia,1444,0,0,5,0
Brahim Diaz,Real Madrid,65,0,0,1,0
Victor Diaz,Granada,2884,1,5,4,0
Papakouli Diop,Eibar,2253,1,0,7,0
Djene,Getafe,3060,0,0,5,0
Nais Djouahra,Real Sociedad,29,0,1,0,0
Marko Dmitrovic,Eibar,3150,0,0,3,0
Jaume Domenech,Valencia,1324,0,0,1,0
Domingos Duarte,Granada,3087,3,1,7,0
Oscar Duarte,Levante,485,0,0,0,0
Ruben Duarte,Alaves,2663,0,1,11,0
Hugo Duro,Getafe,378,1,1,3,0
Aritz Elustondo,Real Sociedad,1510,0,1,4,0
Rodrigo Ely,Alaves,2121,2,0,9,1
Adri Embarba,Espanyol,1371,2,4,4,0
Emerson,Betis,2839,3,6,11,0
Youssef En-Nesyri,Leganes,1385,4,2,2,0
Youssef En-Nesyri,Sevilla,796,4,0,1,0
Sergi Enrich,Eibar,1865,1,4,6,0
Javier Eraso,Leganes,815,0,0,3,0
Gonzalo Escalante,Eibar,1674,0,1,9,1
Aaron Escandell,Granada,270,0,0,0,0
Sergio Escudero,Sevilla,773,1,0,2,0
Bernardo Espinosa,Espanyol,2259,3,0,5,1
Esquerdo,Valencia,15,0,0,0,0
Pervis Estupinhan,Osasuna,2979,1,5,8,0
Oghenekaro Etebo,Getafe,572,1,0,4,0
Benhat Etxebarria,Athletic Club,394,0,0,0,0
Xabier Etxeita,Getafe,1446,0,0,7,0
Edu Exposito,Eibar,2316,4,1,3,0
Fabricio,Mallorca,90,0,0,1,0
Faycal Fajr,Getafe,403,0,0,2,0
Eliseo Falcon,Levante,73,0,0,2,1
Ansu Fati,Barcelona,1027,7,1,2,1
Aleix Febas,Mallorca,1690,0,3,4,0
Zouhair Feddal,Betis,1431,1,2,10,2
Ljubomir Fejsa,Alaves,786,0,0,2,0
Nabil Fekir,Betis,2638,7,4,10,2
Felipe,Atletico Madrid,2102,1,0,7,0
Joao Felix,Atletico Madrid,1745,6,1,6,0
Matheus Fernandes,Valladolid,166,0,0,0,0
Aitor Fernandez,Levante,3240,0,0,2,0
Andres Fernandez,Villarreal,384,0,1,1,0
Carlos Fernandez,Granada,2201,10,3,8,0
Gabriel Fernandez,Celta Vigo,561,1,1,5,1
Joaquin Fernandez,Valladolid,1659,2,0,9,0
Fernando,Sevilla,2659,2,3,13,0
Facundo Ferreyra,Espanyol,574,1,0,2,0
Junior Firpo,Barcelona,1014,1,1,5,0
Alessandro Florenzi,Valencia,752,0,0,1,1
Hernani Fortes,Levante,654,2,0,3,1
Dimitri Foulquier,Granada,1119,1,0,4,0
Jorge de Frutos,Valladolid,59,0,0,0,0
Ramiro Funes Mori,Villarreal,453,0,0,1,0
Enric Gallego,Osasuna,880,3,0,5,1
Enric Gallego,Getafe,164,0,0,0,0
Kevin Gameiro,Valencia,1581,6,2,0,0
Fran Gamez,Mallorca,1768,0,1,5,0
Ezequiel Garay,Valencia,1437,0,0,2,0
Dani Garcia,Athletic Club,3029,0,1,11,0
